Name,Type,Color,Power Supply,Side Panel,External Volume,"Internal 3.5"" Bays",Rating,Price,image_url
Montech XR (75),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume45.0 L,"Internal 3.5"" Bays2",(75),€68.30Add,https://cdna.pcpartpicker.com/static/forever/images/product/dfa4f5783baf38a029b75e60cb883d12.256p.jpg
Phanteks XT PRO (15),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume51.8 L,"Internal 3.5"" Bays2",(15),€52.37Add,https://cdna.pcpartpicker.com/static/forever/images/product/4beb27272519c97f098ceab48df1e12c.256p.jpg
Corsair 3500X ARGB (9),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume55.9 L,"Internal 3.5"" Bays2",(9),€119.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/a740f5cb83faa73c1d8a62945833056e.256p.jpg
NZXT H5 Flow (2024) (14),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume45.0 L,"Internal 3.5"" Bays1",(14),€82.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/640e44d6b2b0264413b089545b628d0a.256p.jpg
Corsair 3500X ARGB (19),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume55.9 L,"Internal 3.5"" Bays2",(19),€129.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/f488ef9e12f2c763481fa0a720647dfd.256p.jpg
Lian Li O11 VISION COMPACT (25),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume57.4 L,"Internal 3.5"" Bays2",(25),€133.60Add,https://cdna.pcpartpicker.com/static/forever/images/product/f68bf787cff2da68c4f1dfe73a9981b4.256p.jpg
Cooler Master MasterBox Q300L (184),TypeMicroATX Mini Tower,ColorBlack,Power SupplyNone,Side PanelAcrylic,External Volume33.6 L,"Internal 3.5"" Bays1",(184),€49.53Add,https://cdna.pcpartpicker.com/static/forever/images/product/ec48e16ee4d6629045cfc4d71c649746.256p.jpg
Lian Li Vector V100R (12),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume53.2 L,"Internal 3.5"" Bays1",(12),€84.10Add,https://cdna.pcpartpicker.com/static/forever/images/product/33c1bd4bd2b68730e185a80a0b6e7750.256p.jpg
Fractal Design North (74),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume45.1 L,"Internal 3.5"" Bays2",(74),€147.35Add,https://cdna.pcpartpicker.com/static/forever/images/product/1977a3a3f6f1238d12ea2a555be4d7ce.256p.jpg
Lian Li O11 VISION COMPACT (27),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume57.4 L,"Internal 3.5"" Bays2",(27),€133.60Add,https://cdna.pcpartpicker.com/static/forever/images/product/2378ddd83c556329e01372a181d44328.256p.jpg
