Name,Fan RPM,Noise Level,Color,Radiator Size,Rating,Price,image_url
Thermalright Peerless Assassin 120 SE (152),Fan RPM1550 RPM,Noise Level25.6 dB,ColorBlack / Silver,Radiator Size,(152),€46.90Add,https://m.media-amazon.com/images/I/41hFTmi5aUL.jpg
ARCTIC Liquid Freezer III Pro 360 (31),Fan RPM600 - 3000 RPM,Noise Level,ColorBlack,Radiator Size360 mm,(31),€86.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/a0b2a92bb4ec2c95b5e492c9513b2c0b.256p.jpg
Cooler Master Hyper 212 Black Edition (197),Fan RPM650 - 2000 RPM,Noise Level6.5 - 26 dB,ColorBlack,Radiator Size,(197),€51.11Add,https://cdna.pcpartpicker.com/static/forever/images/product/716d4c601ae190184020710e098e7b36.256p.jpg
Thermalright Aqua Elite V3 (36),Fan RPM1500 RPM,Noise Level25.6 dB,ColorBlack,Radiator Size360 mm,(36),€73.90Add,https://m.media-amazon.com/images/I/318f4Q17BeL.jpg
Corsair NAUTILUS 360 RS ARGB (16),Fan RPM2100 RPM,Noise Level34 dB,ColorBlack,Radiator Size360 mm,(16),€119.54Add,https://cdna.pcpartpicker.com/static/forever/images/product/3dfb3eca3bd8bf176490b7955ae6345c.256p.jpg
ARCTIC Liquid Freezer III Pro A-RGB 360 (24),Fan RPM600 - 3000 RPM,Noise Level,ColorBlack,Radiator Size360 mm,(24),€100.10Add,https://cdna.pcpartpicker.com/static/forever/images/product/4b3cb378557216401dabfeb2bb0719e1.256p.jpg
Thermalright Phantom Spirit 120 SE ARGB (79),Fan RPM1500 RPM,Noise Level25.6 dB,ColorBlack / Silver,Radiator Size,(79),€47.90Add,https://m.media-amazon.com/images/I/51KizlEeQZL.jpg
Thermalright Assassin X 120 Refined SE (65),Fan RPM1550 RPM,Noise Level25.6 dB,ColorBlack / Silver,Radiator Size,(65),Add,https://m.media-amazon.com/images/I/41aJwdGRuAL.jpg
Noctua NH-D15 chromax.black (244),Fan RPM300 - 1500 RPM,Noise Level19.2 - 24.6 dB,ColorBlack,Radiator Size,(244),€118.49Add,https://m.media-amazon.com/images/I/51kgqhkUNuL.jpg
ARCTIC Liquid Freezer III Pro A-RGB 360 (10),Fan RPM600 - 3000 RPM,Noise Level,ColorWhite,Radiator Size360 mm,(10),€100.10Add,https://cdna.pcpartpicker.com/static/forever/images/product/1288d1aa8f62f15d8ff05f28a8575a93.256p.jpg
