Name,Core Count,Performance Core Clock,Performance Core Boost Clock,Microarchitecture,TDP,Integrated Graphics,Rating,Price,image_url
AMD Ryzen 7 9800X3D (367),Core Count8,Performance Core Clock4.7 GHz,Performance Core Boost Clock5.2 GHz,MicroarchitectureZen 5,TDP120 W,Integrated GraphicsRadeon,(367),€460.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/7e2d17b7b777f8b56e1b5119aa97be20.256p.jpg
AMD Ryzen 7 7800X3D (616),Core Count8,Performance Core Clock4.2 GHz,Performance Core Boost Clock5 GHz,MicroarchitectureZen 4,TDP120 W,Integrated GraphicsRadeon,(616),€370.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/f0e0e59d75066ec825667b71c31e3c83.256p.jpg
AMD Ryzen 5 9600X (107),Core Count6,Performance Core Clock3.9 GHz,Performance Core Boost Clock5.4 GHz,MicroarchitectureZen 5,TDP65 W,Integrated GraphicsRadeon,(107),€194.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/8a0df381931efb7323f458cfc42260f8.256p.jpg
AMD Ryzen 5 7600X (337),Core Count6,Performance Core Clock4.7 GHz,Performance Core Boost Clock5.3 GHz,MicroarchitectureZen 4,TDP105 W,Integrated GraphicsRadeon,(337),€174.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/fd6305088c9d16d59017b380fb9c408a.256p.jpg
AMD Ryzen 5 5500 (91),Core Count6,Performance Core Clock3.6 GHz,Performance Core Boost Clock4.2 GHz,MicroarchitectureZen 3,TDP65 W,Integrated GraphicsNone,(91),€84.86Add,https://cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg
AMD Ryzen 9 9950X3D (45),Core Count16,Performance Core Clock4.3 GHz,Performance Core Boost Clock5.7 GHz,MicroarchitectureZen 5,TDP170 W,Integrated GraphicsRadeon,(45),€669.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/c091adac8120c424d3fcf03bec914302.256p.jpg
AMD Ryzen 5 5600 (189),Core Count6,Performance Core Clock3.5 GHz,Performance Core Boost Clock4.4 GHz,MicroarchitectureZen 3,TDP65 W,Integrated GraphicsNone,(189),€141.39Add,https://cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg
AMD Ryzen 7 7700X (213),Core Count8,Performance Core Clock4.5 GHz,Performance Core Boost Clock5.4 GHz,MicroarchitectureZen 4,TDP105 W,Integrated GraphicsRadeon,(213),€248.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/6d3fb7600f26fb1e94e8b0c1a99e0bfa.256p.jpg
AMD Ryzen 7 9700X (105),Core Count8,Performance Core Clock3.8 GHz,Performance Core Boost Clock5.5 GHz,MicroarchitectureZen 5,TDP65 W,Integrated GraphicsRadeon,(105),€289.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/a0f5a161d8c7ff3c6b0827423537a029.256p.jpg
AMD Ryzen 7 5800X (362),Core Count8,Performance Core Clock3.8 GHz,Performance Core Boost Clock4.7 GHz,MicroarchitectureZen 3,TDP105 W,Integrated GraphicsNone,(362),€184.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/9b4cefb2e43f2c358f3a97a31e1be90b.256p.jpg
AMD Ryzen 5 3600 (1192),Core Count6,Performance Core Clock3.6 GHz,Performance Core Boost Clock4.2 GHz,MicroarchitectureZen 2,TDP65 W,Integrated GraphicsNone,(1192),€111.82Add,https://cdna.pcpartpicker.com/static/forever/images/product/c7baf2c9c9cc15ae23adb24c2f4316fc.256p.jpg
AMD Ryzen 5 5600X (719),Core Count6,Performance Core Clock3.7 GHz,Performance Core Boost Clock4.6 GHz,MicroarchitectureZen 3,TDP65 W,Integrated GraphicsNone,(719),€154.88Add,https://cdna.pcpartpicker.com/static/forever/images/product/3ef757133d38ac40afe75da691ba7d60.256p.jpg
AMD Ryzen 7 5700X (123),Core Count8,Performance Core Clock3.4 GHz,Performance Core Boost Clock4.6 GHz,MicroarchitectureZen 3,TDP65 W,Integrated GraphicsNone,(123),€179.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/a0931f2db7bb9c37a199429c85a0d2e1.256p.jpg
Intel Core i7-14700K (47),Core Count20,Performance Core Clock3.4 GHz,Performance Core Boost Clock5.6 GHz,MicroarchitectureRaptor Lake Refresh,TDP125 W,Integrated GraphicsIntel UHD Graphics 770,(47),€354.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/c3e5d01cec2fa20b6f47fe8a400c08d6.256p.jpg
Intel Core i5-12400F (105),Core Count6,Performance Core Clock2.5 GHz,Performance Core Boost Clock4.4 GHz,MicroarchitectureAlder Lake,TDP65 W,Integrated GraphicsNone,(105),€135.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/5fe3c9cc8cbaaa4aa52aed7389d2cc10.256p.jpg
AMD Ryzen 9 9900X (47),Core Count12,Performance Core Clock4.4 GHz,Performance Core Boost Clock5.6 GHz,MicroarchitectureZen 5,TDP120 W,Integrated GraphicsRadeon,(47),€388.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/8148c56c91723188e32a508682fa9854.256p.jpg
Intel Core i9-14900K (42),Core Count24,Performance Core Clock3.2 GHz,Performance Core Boost Clock6 GHz,MicroarchitectureRaptor Lake Refresh,TDP125 W,Integrated GraphicsIntel UHD Graphics 770,(42),€464.67Add,https://cdna.pcpartpicker.com/static/forever/images/product/c9117c605854e9387e57cd69ebca2415.256p.jpg
AMD Ryzen 7 5800XT (9),Core Count8,Performance Core Clock3.8 GHz,Performance Core Boost Clock4.8 GHz,MicroarchitectureZen 3,TDP105 W,Integrated GraphicsNone,(9),€201.50Add,https://cdna.pcpartpicker.com/static/forever/images/product/ce5ffddc2c5a21f074f6abcc6e972249.256p.jpg
AMD Ryzen 5 7500F (28),Core Count6,Performance Core Clock3.7 GHz,Performance Core Boost Clock5 GHz,MicroarchitectureZen 4,TDP65 W,Integrated GraphicsNone,(28),€147.12Add,https://cdna.pcpartpicker.com/static/forever/images/product/521c4c2de515ace1e8bb11575e797393.256p.jpg
AMD Ryzen 7 5800X3D (128),Core Count8,Performance Core Clock3.4 GHz,Performance Core Boost Clock4.5 GHz,MicroarchitectureZen 3,TDP105 W,Integrated GraphicsNone,(128),Add,https://cdna.pcpartpicker.com/static/forever/images/product/f83c6c4ee8cb5a6801f35aae5fc5d018.256p.jpg
Intel Core Ultra 7 265K (21),Core Count20,Performance Core Clock3.9 GHz,Performance Core Boost Clock5.5 GHz,MicroarchitectureArrow Lake,TDP125 W,Integrated GraphicsIntel Xe,(21),€299.89Add,https://cdna.pcpartpicker.com/static/forever/images/product/19fb12d5828d3ae540e91eefa4160b79.256p.jpg
AMD Ryzen 5 7600 (200),Core Count6,Performance Core Clock3.8 GHz,Performance Core Boost Clock5.1 GHz,MicroarchitectureZen 4,TDP65 W,Integrated GraphicsRadeon,(200),€173.89Add,https://cdna.pcpartpicker.com/static/forever/images/product/f0d757d712dd7145ecf00152653e5ec1.256p.jpg
AMD Ryzen 9 7900X (101),Core Count12,Performance Core Clock4.7 GHz,Performance Core Boost Clock5.6 GHz,MicroarchitectureZen 4,TDP170 W,Integrated GraphicsRadeon,(101),€319.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.256p.jpg
AMD Threadripper 3990X (1),Core Count64,Performance Core Clock2.9 GHz,Performance Core Boost Clock4.3 GHz,MicroarchitectureZen 2,TDP280 W,Integrated GraphicsNone,(1),Add,https://cdna.pcpartpicker.com/static/forever/images/product/7e2e7fecadc261c89c70cf3965a97a28.256p.jpg
Intel Core i5-12600KF (97),Core Count10,Performance Core Clock3.7 GHz,Performance Core Boost Clock4.9 GHz,MicroarchitectureAlder Lake,TDP125 W,Integrated GraphicsNone,(97),€175.79Add,https://cdna.pcpartpicker.com/static/forever/images/product/01163d618db9518d03041c9997e23bb1.256p.jpg
Intel Core Ultra 9 285K (7),Core Count24,Performance Core Clock3.7 GHz,Performance Core Boost Clock5.7 GHz,MicroarchitectureArrow Lake,TDP125 W,Integrated GraphicsIntel Xe,(7),€524.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/d658fbb8695607dc4964431e6b6b9373.256p.jpg
AMD Ryzen 5 8500G (3),Core Count6,Performance Core Clock4.1 GHz,Performance Core Boost Clock5 GHz,MicroarchitectureZen 4,TDP65 W,Integrated GraphicsRadeon 740M,(3),€147.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/2a87a9a2a5a34b013ae637285470d93a.256p.jpg
Intel Core i7-12700KF (66),Core Count12,Performance Core Clock3.6 GHz,Performance Core Boost Clock5 GHz,MicroarchitectureAlder Lake,TDP125 W,Integrated GraphicsNone,(66),€254.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/b69e4a2d3dd9f8fac9ed6bf1b631b0ce.256p.jpg
AMD Ryzen 9 5950X (112),Core Count16,Performance Core Clock3.4 GHz,Performance Core Boost Clock4.9 GHz,MicroarchitectureZen 3,TDP105 W,Integrated GraphicsNone,(112),€299.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg
AMD Ryzen 9 5900X (247),Core Count12,Performance Core Clock3.7 GHz,Performance Core Boost Clock4.8 GHz,MicroarchitectureZen 3,TDP105 W,Integrated GraphicsNone,(247),€616.50Add,https://cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg
Intel Core i5-14600K (28),Core Count14,Performance Core Clock3.5 GHz,Performance Core Boost Clock5.3 GHz,MicroarchitectureRaptor Lake Refresh,TDP125 W,Integrated GraphicsIntel UHD Graphics 770,(28),€240.91Add,https://cdna.pcpartpicker.com/static/forever/images/product/c8f65245aff45313f03aaad255078883.256p.jpg
Intel Core i5-14400F (1),Core Count10,Performance Core Clock2.5 GHz,Performance Core Boost Clock4.7 GHz,MicroarchitectureRaptor Lake Refresh,TDP65 W,Integrated GraphicsNone,(1),€183.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/1a89e55daad13315da1822c1630dc26c.256p.jpg
AMD Ryzen 7 5700G (53),Core Count8,Performance Core Clock3.8 GHz,Performance Core Boost Clock4.6 GHz,MicroarchitectureZen 3,TDP65 W,Integrated GraphicsRadeon Vega 8,(53),€174.86Add,https://cdna.pcpartpicker.com/static/forever/images/product/f599944d7bed683e57062447764ce9d9.256p.jpg
AMD Ryzen 9 9950X (22),Core Count16,Performance Core Clock4.3 GHz,Performance Core Boost Clock5.7 GHz,MicroarchitectureZen 5,TDP170 W,Integrated GraphicsRadeon,(22),€522.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/53669af807496f1034349a25fc685672.256p.jpg
AMD Ryzen 5 7600X3D (37),Core Count6,Performance Core Clock4.1 GHz,Performance Core Boost Clock4.7 GHz,MicroarchitectureZen 4,TDP65 W,Integrated GraphicsRadeon,(37),€329.40Add,https://cdna.pcpartpicker.com/static/forever/images/product/b684575be6a62b1fe86628cbbbca2ac4.256p.jpg
AMD Ryzen 7 3700X (638),Core Count8,Performance Core Clock3.6 GHz,Performance Core Boost Clock4.4 GHz,MicroarchitectureZen 2,TDP65 W,Integrated GraphicsNone,(638),€527.32Add,https://cdna.pcpartpicker.com/static/forever/images/product/23cd3adfd50037c1b44d6d53edb15248.256p.jpg
AMD Ryzen 5 5600G (148),Core Count6,Performance Core Clock3.9 GHz,Performance Core Boost Clock4.4 GHz,MicroarchitectureZen 3,TDP65 W,Integrated GraphicsRadeon Vega 7,(148),€174.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/1dd09dfdc581be6224a323d49d714c7f.256p.jpg
Intel Core i5-14600KF (14),Core Count14,Performance Core Clock3.5 GHz,Performance Core Boost Clock5.3 GHz,MicroarchitectureRaptor Lake Refresh,TDP125 W,Integrated GraphicsNone,(14),€229.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/c8f65245aff45313f03aaad255078883.256p.jpg
AMD Ryzen 5 5600XT (2),Core Count6,Performance Core Clock3.7 GHz,Performance Core Boost Clock4.7 GHz,MicroarchitectureZen 3,TDP65 W,Integrated GraphicsNone,(2),€143.49Add,https://cdna.pcpartpicker.com/static/forever/images/product/a010fc03fea2809af2c8fd966fbd483c.256p.jpg
AMD Ryzen 7 5700X3D (38),Core Count8,Performance Core Clock3 GHz,Performance Core Boost Clock4.1 GHz,MicroarchitectureZen 3,TDP105 W,Integrated GraphicsNone,(38),Add,https://cdna.pcpartpicker.com/static/forever/images/product/7945bbda871bfbf95a9138fd184f4a6e.256p.jpg
Intel Core i5-12600K (160),Core Count10,Performance Core Clock3.7 GHz,Performance Core Boost Clock4.9 GHz,MicroarchitectureAlder Lake,TDP125 W,Integrated GraphicsIntel UHD Graphics 770,(160),€200.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/3f727799b9fc5e83f0e8953759946bd2.256p.jpg
Intel Core i9-12900K (76),Core Count16,Performance Core Clock3.2 GHz,Performance Core Boost Clock5.2 GHz,MicroarchitectureAlder Lake,TDP125 W,Integrated GraphicsIntel UHD Graphics 770,(76),€336.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/b9d3c68bbf713cdd1211f3792040ce95.256p.jpg
Intel Core i7-12700K (151),Core Count12,Performance Core Clock3.6 GHz,Performance Core Boost Clock5 GHz,MicroarchitectureAlder Lake,TDP125 W,Integrated GraphicsIntel UHD Graphics 770,(151),€275.79Add,https://cdna.pcpartpicker.com/static/forever/images/product/3f7037db801def4db8418df8e7498e6a.256p.jpg
AMD Ryzen 7 5700 (5),Core Count8,Performance Core Clock3.7 GHz,Performance Core Boost Clock4.6 GHz,MicroarchitectureZen 3,TDP65 W,Integrated GraphicsNone,(5),€178.97Add,https://cdna.pcpartpicker.com/static/forever/images/product/5c2e33214954959b8fe3759699e29ad2.256p.jpg
AMD Ryzen 3 3200G (63),Core Count4,Performance Core Clock3.6 GHz,Performance Core Boost Clock4 GHz,MicroarchitectureZen+,TDP65 W,Integrated GraphicsRadeon Vega 8,(63),€59.96Add,https://cdna.pcpartpicker.com/static/forever/images/product/3567a863156c083a7d4c8fcb7e0dbdac.256p.jpg
AMD Ryzen 9 9900X3D (3),Core Count12,Performance Core Clock4.4 GHz,Performance Core Boost Clock5.5 GHz,MicroarchitectureZen 5,TDP120 W,Integrated GraphicsRadeon,(3),€562.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/990c9be284c611b84c6a33e9706b1efa.256p.jpg
AMD Ryzen 5 8400F (6),Core Count6,Performance Core Clock4.2 GHz,Performance Core Boost Clock4.7 GHz,MicroarchitectureZen 4,TDP65 W,Integrated GraphicsNone,(6),€139.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/2c2a93ae222699dace151a0f718e21c0.256p.jpg
AMD Ryzen 5 4500 (24),Core Count6,Performance Core Clock3.6 GHz,Performance Core Boost Clock4.1 GHz,MicroarchitectureZen 2,TDP65 W,Integrated GraphicsNone,(24),€55.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/e1f3bf613a5651db6f394c8dd41f0f15.256p.jpg
Intel Core i3-12100F (57),Core Count4,Performance Core Clock3.3 GHz,Performance Core Boost Clock4.3 GHz,MicroarchitectureAlder Lake,TDP58 W,Integrated GraphicsNone,(57),€83.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/c67d8f42c0e57b268f068172e9a3f571.256p.jpg
AMD Ryzen 7 8700F (3),Core Count8,Performance Core Clock4.1 GHz,Performance Core Boost Clock5 GHz,MicroarchitectureZen 4,TDP65 W,Integrated GraphicsNone,(3),€235.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/b6ab2ee57b91c56a92a3da6346e47627.256p.jpg
