Name,Chipset,Memory,Core Clock,Boost Clock,Color,Length,Rating,Price,image_url
Gigabyte GAMING OC (13),ChipsetRadeon RX 9060 XT,Memory16 GB,Core Clock2220 MHz,Boost Clock3320 MHz,ColorBlack,Length281 mm,(13),€460.49Add,https://cdna.pcpartpicker.com/static/forever/images/product/867a636cde1c3c9762b06bde17acd022.256p.jpg
Gigabyte WINDFORCE OC SFF (10),ChipsetGeForce RTX 5070,Memory12 GB,Core Clock2160 MHz,Boost Clock2542 MHz,ColorBlack,Length282 mm,(10),€698.81Add,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
Asus ROG Astral OC (8),ChipsetGeForce RTX 5090,Memory32 GB,Core Clock2010 MHz,Boost Clock2610 MHz,ColorBlack / Silver,Length358 mm,(8),€4449.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/0161407080353d18971dcccd15dc3722.256p.jpg
MSI GeForce RTX 3060 Ventus 2X 12G (35),ChipsetGeForce RTX 3060 12GB,Memory12 GB,Core Clock1320 MHz,Boost Clock1777 MHz,ColorBlack,Length235 mm,(35),€565.50Add,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg
Gigabyte GAMING OC (29),ChipsetRadeon RX 9070 XT,Memory16 GB,Core Clock2520 MHz,Boost Clock3060 MHz,ColorBlack,Length288 mm,(29),€749.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
MSI SHADOW 2X OC (3),ChipsetGeForce RTX 5060,Memory8 GB,Core Clock2280 MHz,Boost Clock2535 MHz,ColorBlack / Silver,Length197 mm,(3),Add,https://cdna.pcpartpicker.com/static/forever/images/product/8c4f403aea1d6a32045a6368e23486c1.256p.jpg
Asus PRIME (12),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2300 MHz,Boost Clock2482 MHz,ColorBlack / White,Length306 mm,(12),Out of stock€1128.78Add,https://cdna.pcpartpicker.com/static/forever/images/product/43191ac360269737064e20b57d60c9b6.256p.jpg
Asus DUAL OC (4),ChipsetGeForce RTX 5060 Ti,Memory16 GB,Core Clock2410 MHz,Boost Clock2632 MHz,ColorBlack / Silver,Length229 mm,(4),€704.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/59667fe806af75adbdce293b8f5fb626.256p.jpg
Intel Limited Edition (27),ChipsetArc B580,Memory12 GB,Core Clock2670 MHz,Boost Clock,ColorBlack,Length272 mm,(27),€275.79Add,https://cdna.pcpartpicker.com/static/forever/images/product/4d6582f8f760f3da54b0dc4f85a816d4.256p.jpg
Asus PRIME OC (20),ChipsetRadeon RX 9070 XT,Memory16 GB,Core Clock2460 MHz,Boost Clock3030 MHz,ColorBlack,Length312 mm,(20),€739.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/a276b7c0da9743accbc0a6e0d88732df.256p.jpg
Sapphire PULSE (9),ChipsetRadeon RX 9060 XT,Memory16 GB,Core Clock2220 MHz,Boost Clock3290 MHz,ColorBlack,Length240 mm,(9),€485.56Add,https://cdna.pcpartpicker.com/static/forever/images/product/bb4fb586eae43c6dd135c6a5b97ddb52.256p.jpg
MSI SHADOW 3X OC (1),ChipsetGeForce RTX 5080,Memory16 GB,Core Clock2300 MHz,Boost Clock2655 MHz,ColorBlack,Length303 mm,(1),Add,https://cdna.pcpartpicker.com/static/forever/images/product/d91d1da465afdceccb1152763b266b4a.256p.jpg
Inno3D X3 OC (0),ChipsetGeForce RTX 5090,Memory32 GB,Core Clock2017 MHz,Boost Clock2452 MHz,ColorBlack / Silver,Length333 mm,(0),Out of stock€2878.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/0f558bb226e573c90c058cab02fbd1c1.256p.jpg
PowerColor Reaper (10),ChipsetRadeon RX 9060 XT,Memory16 GB,Core Clock2220 MHz,Boost Clock3230 MHz,ColorBlack,Length200 mm,(10),€455.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/f534d935371e62d5ae8e46e9f05f300d.256p.jpg
Gigabyte WINDFORCE OC (1),ChipsetGeForce RTX 5060,Memory8 GB,Core Clock2280 MHz,Boost Clock,ColorBlack,Length199 mm,(1),€332.47Add,https://cdna.pcpartpicker.com/static/forever/images/product/b5efd683779ac37de1ac562745545713.256p.jpg
Asus PRIME OC (10),ChipsetGeForce RTX 5070,Memory12 GB,Core Clock2160 MHz,Boost Clock,ColorBlack / White,Length306 mm,(10),€641.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/fde7ea2fd82e40a1a6acb5297de68611.256p.jpg
MSI GAMING TRIO OC (5),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2300 MHz,Boost Clock2580 MHz,ColorBlack,Length338 mm,(5),€1188.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/370365e652c3b14625e18aedae953a7b.256p.jpg
