Name,Screen Size,Resolution,Refresh Rate,Response Time (G2G),Panel Type,Aspect Ratio,Rating,Price,image_url
MSI MAG 275QF (16),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)0.5 ms,Panel TypeIPS,Aspect Ratio16:9,(16),Add,https://cdna.pcpartpicker.com/static/forever/images/product/57207990ab73d40707fd5756f9680995.256p.jpg
Dell UP3218K (0),"Screen Size31.5""",Resolution7680 x 4320,Refresh Rate60 Hz,Response Time (G2G)6 ms,Panel TypeIPS,Aspect Ratio16:9,(0),€4199.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/d033ac72d7a1b3440f64bd9d9892fa49.256p.jpg
KOORUI 24E3 (9),"Screen Size24.0""",Resolution1920 x 1080,Refresh Rate165 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(9),Add,https://cdna.pcpartpicker.com/static/forever/images/product/62a0a3d374d373fe78df925242bd9951.256p.jpg
Asus ROG Swift OLED PG32UCDM (6),"Screen Size31.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(6),€1685.14Add,https://cdna.pcpartpicker.com/static/forever/images/product/d835718847c1c4cec8da0a0542002b8d.256p.jpg
Asus TUF Gaming VG27AQ (96),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate165 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(96),€409.97Add,https://cdna.pcpartpicker.com/static/forever/images/product/16988d4e994d281aa599d856ecd9f8bd.256p.jpg
MSI PRO MP225V (0),"Screen Size21.4""",Resolution1920 x 1080,Refresh Rate100 Hz,Response Time (G2G)4 ms,Panel TypeVA,Aspect Ratio16:9,(0),€82.98Add,https://cdna.pcpartpicker.com/static/forever/images/product/b53208c8d0699d812c0d70f2621df3fd.256p.jpg
Asus ROG Swift PG32UQX (0),"Screen Size32.0""",Resolution3840 x 2160,Refresh Rate144 Hz,Response Time (G2G)4 ms,Panel TypeIPS,Aspect Ratio16:9,(0),€4900.29Add,https://cdna.pcpartpicker.com/static/forever/images/product/c749f9fcca892140eaf9f425b5073083.256p.jpg
AOC Agon PRO AG276QZD2 (5),"Screen Size26.7""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(5),€504.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/3662446c0967fa592129931b0a745731.256p.jpg
MSI MAG 244F (1),"Screen Size23.8""",Resolution1920 x 1080,Refresh Rate200 Hz,Response Time (G2G)0.5 ms,Panel TypeIPS,Aspect Ratio16:9,(1),€148.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/d0a827405020c824617ca5b9f4155b8a.256p.jpg
Samsung Odyssey Neo G95NC (2),"Screen Size57.0""",Resolution7680 x 2160,Refresh Rate240 Hz,Response Time (G2G)1 ms,Panel TypeVA,Aspect Ratio32:9,(2),€2376.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/b80e393faab308fc44c584b2f2056a71.256p.jpg
Asus ROG Swift OLED PG27AQDP (1),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate480 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(1),€932.64Add,https://cdna.pcpartpicker.com/static/forever/images/product/4e8850f1dbc11cb94248fe6d0bf59adc.256p.jpg
Acer Acer Nitro XV272U W2bmiiprx (6),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(6),Add,https://m.media-amazon.com/images/I/41yr+5P84JL.jpg
Asus TUF Gaming VG27AQ3A (4),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(4),€267.75Add,https://cdna.pcpartpicker.com/static/forever/images/product/098e71ab231767a13c79234c2dc73060.256p.jpg
Samsung Odyssey OLED G80SD (3),"Screen Size32.0""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(3),€798.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/530659e995053efaa33fb6ba2a114cb1.256p.jpg
Samsung Odyssey OLED G93SC (2),"Screen Size49.0""",Resolution5120 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio32:9,(2),€909.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/53a56c753fa1c507f9dc99ccf695f886.256p.jpg
Asus ROG Strix XG27AQDMG (6),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeWOLED,Aspect Ratio16:9,(6),€653.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/c0ef2cf4b57c8a4147fedc7dea8fa022.256p.jpg
Asus ROG Strix OLED XG27ACDNG (1),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate360 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(1),€699.00Add,https://m.media-amazon.com/images/I/51DEBEiIKaL.jpg
Asus ROG Swift OLED PG27UCDM (2),"Screen Size26.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(2),€1070.44Add,https://cdna.pcpartpicker.com/static/forever/images/product/76e496e5f5dae3cd68a2557c26b1328b.256p.jpg
BenQ XL2586X+ (0),"Screen Size24.1""",Resolution1920 x 1080,Refresh Rate600 Hz,Response Time (G2G),Panel TypeTN,Aspect Ratio16:9,(0),€1199.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/b5b99755135856fd2bb3b53012ab0a89.256p.jpg
MSI G242L E14 (0),"Screen Size23.8""",Resolution1920 x 1080,Refresh Rate144 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(0),Add,https://m.media-amazon.com/images/I/41YCGBMo-vL.jpg
LG UltraGear OLED 27GX790A-B (3),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate480 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(3),€707.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/a611fc098ad2f3eac22e4e27ebbe4897.256p.jpg
Samsung Odyssey G55C (3),"Screen Size32.0""",Resolution2560 x 1440,Refresh Rate165 Hz,Response Time (G2G)1 ms,Panel TypeVA,Aspect Ratio16:9,(3),€171.36Add,https://cdna.pcpartpicker.com/static/forever/images/product/cb65dd471a1ab1f6afbc805b90f79c53.256p.jpg
LG 65EP5G-B (0),"Screen Size65.0""",Resolution3840 x 2160,Refresh Rate120 Hz,Response Time (G2G)0.1 ms,Panel TypeOLED,Aspect Ratio16:9,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/b01d97e380b0840e5a7f789b31ec3a3f.256p.jpg
MSI MAG 27CQ6F (2),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)0.5 ms,Panel TypeVA,Aspect Ratio16:9,(2),€184.50Add,https://cdna.pcpartpicker.com/static/forever/images/product/84645abe7835e8dbbd99a92787fad7bf.256p.jpg
Asus TUF Gaming VG249Q3R (3),"Screen Size23.8""",Resolution1920 x 1080,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(3),€158.38Add,https://cdna.pcpartpicker.com/static/forever/images/product/653172db7154e35675c494da72c72b65.256p.jpg
Asus ROG Swift OLED PG27AQWP-W (0),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate540 Hz,Response Time (G2G)0.02 ms,Panel TypeWOLED,Aspect Ratio16:9,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/cf681d3408aba584c7050c8b7ae304a0.256p.jpg
Samsung Odyssey OLED G60SD (6),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate360 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(6),€649.35Add,https://cdna.pcpartpicker.com/static/forever/images/product/6d2d0257a2ae291273ddd5e8de1a434a.256p.jpg
Samsung C24F390 (17),"Screen Size24.0""",Resolution1920 x 1080,Refresh Rate60 Hz,Response Time (G2G)4 ms,Panel TypeVA,Aspect Ratio16:9,(17),Add,https://cdna.pcpartpicker.com/static/forever/images/product/3dd2cdfad48aba22d4f62e6022ef0c2c.256p.jpg
LG UltraGear OLED 45GX950A-B (2),"Screen Size44.5""",Resolution5120 x 2160,Refresh Rate165 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio64:27,(2),€1704.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/1d26289992e61c698a2a6174601d22e8.256p.jpg
Dell Alienware AW3225QF (15),"Screen Size31.6""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(15),€988.83Add,https://cdna.pcpartpicker.com/static/forever/images/product/ddb115124a1eda804762f8fef6b6a2d2.256p.jpg
AOC Q27G3XMN (15),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeVA Mini LED,Aspect Ratio16:9,(15),€299.89Add,https://cdna.pcpartpicker.com/static/forever/images/product/318177d5031dd67c9001a8aa2a338a5b.256p.jpg
LG UltraGear G6 27G610A-B (1),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate200 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(1),€175.10Add,https://cdna.pcpartpicker.com/static/forever/images/product/1ccdf63042992ee1b4b10574017584fe.256p.jpg
MSI PRO MP225 (0),"Screen Size21.5""",Resolution1920 x 1080,Refresh Rate100 Hz,Response Time (G2G)4 ms,Panel TypeIPS,Aspect Ratio16:9,(0),€136.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/c4fdb52450050d66eb171a27cdbd394e.256p.jpg
Samsung Odyssey G4 (6),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate240 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(6),Add,https://cdna.pcpartpicker.com/static/forever/images/product/532f0595275969ccd86055922406d927.256p.jpg
Samsung Odyssey OLED G60SF (0),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate500 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(0),€762.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/603d8c0d85b298d17f2bcac07a6c3acc.256p.jpg
Asus ROG Strix OLED XG27AQDPG (0),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate500 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(0),€899.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/a406886147acab506d85b492998f49ad.256p.jpg
Sceptre E248W-19203R (6),"Screen Size23.8""",Resolution1920 x 1080,Refresh Rate75 Hz,Response Time (G2G)14 ms,Panel TypeTN,Aspect Ratio16:9,(6),€286.74Add,https://m.media-amazon.com/images/I/41KDhGxbcGL.jpg
MSI MAG 275F (1),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate180 Hz,Response Time (G2G)0.5 ms,Panel TypeIPS,Aspect Ratio16:9,(1),€294.47Add,https://cdna.pcpartpicker.com/static/forever/images/product/96e1da40ce7b4a4e162045b0c7ad9b2d.256p.jpg
Dell Alienware AW3425DW (4),"Screen Size34.2""",Resolution3440 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio21:9,(4),€781.90Add,https://m.media-amazon.com/images/I/41ntQSLkfRL.jpg
