Name,Socket / CPU,Form Factor,Memory Max,Memory Slots,Color,Rating,Price,image_url
MSI B650 GAMING PLUS WIFI (53),Socket / CPUAM5,Form FactorATX,Memory Max192 GB,Memory Slots4,ColorBlack,(53),€153.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
MSI MAG B850 TOMAHAWK MAX WIFI (24),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack / Green,(24),€255.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/fe0743e587416e7fa161bfd0dca8237f.256p.jpg
Asus B650E MAX GAMING WIFI W (10),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorWhite,(10),€205.68Add,https://cdna.pcpartpicker.com/static/forever/images/product/233f7973b2f73df3b3273091792a871d.256p.jpg
Asus PRIME B550M-A WIFI II (39),Socket / CPUAM4,Form FactorMicro ATX,Memory Max128 GB,Memory Slots4,ColorBlue / Silver,(39),€118.97Add,https://cdna.pcpartpicker.com/static/forever/images/product/ff4b4e2c7f72b014f39f1864b19e7250.256p.jpg
Gigabyte B850 AORUS ELITE WIFI7 (27),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack,(27),€231.20Add,https://cdna.pcpartpicker.com/static/forever/images/product/d3a0054902d36d38a60d09d83698d7c8.256p.jpg
Asus TUF GAMING B850-PLUS WIFI (21),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack / Silver,(21),€217.49Add,https://m.media-amazon.com/images/I/51FhIr30MjL.jpg
Asus TUF GAMING B650E-E WIFI (13),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack,(13),€180.20Add,https://cdna.pcpartpicker.com/static/forever/images/product/6e091a3954e7ac61e63a226aced54d9b.256p.jpg
Gigabyte B550 EAGLE WIFI6 (2),Socket / CPUAM4,Form FactorATX,Memory Max128 GB,Memory Slots4,ColorBlack,(2),€130.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/9435af2197a80fcb37bc356ec9b83413.256p.jpg
Gigabyte A520M K V2 (11),Socket / CPUAM4,Form FactorMicro ATX,Memory Max64 GB,Memory Slots2,ColorBrown / Black,(11),€50.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/ad69b238cf570ec07fb8a00adda58eda.256p.jpg
Asus ROG STRIX B850-A GAMING WIFI (9),Socket / CPUAM5,Form FactorATX,Memory Max192 GB,Memory Slots4,ColorWhite,(9),€245.00Add,https://m.media-amazon.com/images/I/515foeFWRnL.jpg
MSI B550M PRO-VDH WIFI (141),Socket / CPUAM4,Form FactorMicro ATX,Memory Max128 GB,Memory Slots4,ColorBlack,(141),€87.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/57b4a5399dc626e9c5786f786aeb94ac.256p.jpg
Gigabyte X870E AORUS ELITE WIFI7 (15),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack,(15),€313.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/1e1c3a84fdb8ea01eec98abd4c40d5d8.256p.jpg
Gigabyte B650 EAGLE AX (64),Socket / CPUAM5,Form FactorATX,Memory Max192 GB,Memory Slots4,ColorGray / Black,(64),€143.79Add,https://m.media-amazon.com/images/I/51BdjazabVL.jpg
