Name,Mode,Maximum Supported Memory,Rating,Price,image_url
Microsoft Windows 11 Home OEM - DVD 64-bit (150),Mode64-bit,Maximum Supported Memory128 GB,(150),€111.82Add,https://cdna.pcpartpicker.com/static/forever/images/product/ab7d4d98513e78fab6b0ca42894bda65.256p.jpg
Microsoft Windows 11 Pro OEM - DVD 64-bit (148),Mode64-bit,Maximum Supported Memory2048 GB,(148),€89.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/b06dd204711f15e712f892efcb1dd3df.256p.jpg
Microsoft Windows 11 Home Retail - USB 64-bit (90),Mode64-bit,Maximum Supported Memory128 GB,(90),€163.53Add,https://cdna.pcpartpicker.com/static/forever/images/product/ed2349ecd618439a2aa96364e9445138.256p.jpg
Microsoft Windows 11 Pro Retail - Download 64-bit (98),Mode64-bit,Maximum Supported Memory2048 GB,(98),€147.11Add,https://cdna.pcpartpicker.com/static/forever/images/product/5975493ee399fce8bc8df92e7acfbbe2.256p.jpg
Microsoft Windows 11 Home Retail - Download 64-bit (50),Mode64-bit,Maximum Supported Memory128 GB,(50),Add,https://cdna.pcpartpicker.com/static/forever/images/product/32b6fc00152158658990b62c8ab1e0d8.256p.jpg
Microsoft Windows 11 Pro Retail - USB 64-bit (37),Mode64-bit,Maximum Supported Memory2048 GB,(37),€270.81Add,https://cdna.pcpartpicker.com/static/forever/images/product/78f43eb1b5266ea1ad87edc95cb23ba1.256p.jpg
Microsoft Windows 10 Home OEM - DVD 64-bit (1068),Mode64-bit,Maximum Supported Memory128 GB,(1068),Add,https://cdna.pcpartpicker.com/static/forever/images/product/f5e3c78aadf16d536c31b0fa088c8306.256p.jpg
Microsoft Windows 10 Home Retail - USB 32/64-bit (82),Mode32/64-bit,Maximum Supported Memory128 GB,(82),Add,https://cdna.pcpartpicker.com/static/forever/images/product/bd996c469da3cf1008cd9efc48a1f660.256p.jpg
Microsoft Windows 10 Pro Retail - USB 32/64-bit (28),Mode32/64-bit,Maximum Supported Memory2048 GB,(28),Add,https://cdna.pcpartpicker.com/static/forever/images/product/ec4467a1717895ddeee70be93f95e058.256p.jpg
Microsoft Windows 10 Home Retail - USB 32/64-bit (19),Mode32/64-bit,Maximum Supported Memory128 GB,(19),Add,https://cdna.pcpartpicker.com/static/forever/images/product/d27dd8746891b293b60edde8f4316241.256p.jpg
Microsoft Windows 10 Pro OEM - DVD 64-bit (757),Mode64-bit,Maximum Supported Memory2048 GB,(757),Out of stock€123.88Add,https://cdna.pcpartpicker.com/static/forever/images/product/e2020af0d40a275d81e0eec3386efa7e.256p.jpg
Microsoft Windows 10 Pro Retail - Download 32/64-bit (57),Mode32/64-bit,Maximum Supported Memory2048 GB,(57),Add,https://cdna.pcpartpicker.com/static/forever/images/product/b3f9d836d33c6a83e4f4e89405eb8b12.256p.jpg
Microsoft Windows 7 Home Premium Full 32/64-bit (31),Mode32/64-bit,Maximum Supported Memory16 GB,(31),€274.86Add,https://m.media-amazon.com/images/I/419-LjC5iFL.jpg
Microsoft Windows 10 Home Retail - Download 32/64-bit (75),Mode32/64-bit,Maximum Supported Memory128 GB,(75),Add,https://cdna.pcpartpicker.com/static/forever/images/product/4d7dbe8a84feb68bfcc7c867b56f9bf6.256p.jpg
Microsoft Windows 7 Professional Full 32/64-bit (19),Mode32/64-bit,Maximum Supported Memory192 GB,(19),Add,https://m.media-amazon.com/images/I/41UCO5YLmcL.jpg
Microsoft Windows 10 Pro French CDN - Retail - DVD 64-bit (8),Mode64-bit,Maximum Supported Memory2048 GB,(8),Add,https://cdna.pcpartpicker.com/static/forever/images/product/eada175679f407c6c400d6206d19b9e4.256p.jpg
Microsoft Windows 8.1 32/64-bit (113),Mode32/64-bit,Maximum Supported Memory128 GB,(113),Add,/static/forever/img/no-image.png
Microsoft Windows 10 Pro Retail - USB 32/64-bit (10),Mode32/64-bit,Maximum Supported Memory2048 GB,(10),Add,https://cdna.pcpartpicker.com/static/forever/images/product/e61db9f11b1551d54cc2635bc9bdbd32.256p.jpg
Microsoft Windows 10 Home OEM - DVD 64-bit (79),Mode64-bit,Maximum Supported Memory128 GB,(79),Add,https://cdna.pcpartpicker.com/static/forever/images/product/c9b365727400c92a7ffcb533826dd224.256p.jpg
