Name,Type,Efficiency Rating,Wattage,Modular,Color,Rating,Price,image_url
MSI MAG A750GL PCIE5 (98),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularFull,ColorBlack,(98),€119.48Add,https://cdna.pcpartpicker.com/static/forever/images/product/d8f4d13ba49891eb3929bdddc3d87b4b.256p.jpg
MSI MAG A850GL PCIE5 (82),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(82),€106.23Add,https://cdna.pcpartpicker.com/static/forever/images/product/79be60ce3783b8918a1c0940d3e4ff19.256p.jpg
MSI MAG A650BN (51),TypeATX,Efficiency Rating80+ Bronze,Wattage650 W,ModularNo,ColorBlack,(51),€53.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/3148f884b77b2d7abee3a3e0ad72cf73.256p.jpg
Corsair RM850e (2025) (29),TypeATX,Efficiency Rating,Wattage850 W,ModularFull,ColorBlack,(29),€134.94Add,https://cdna.pcpartpicker.com/static/forever/images/product/3fa3c80c1defc487364f6bdaf2670b1e.256p.jpg
Corsair SF1000 (2024) (39),TypeSFX,Efficiency Rating80+ Platinum,Wattage1000 W,ModularFull,ColorBlack,(39),€214.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/0dd4e1eecc238b78a3b4abfa14af9d50.256p.jpg
Corsair RM1000x (2024) (40),TypeATX,Efficiency Rating,Wattage1000 W,ModularFull,ColorBlack,(40),€188.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/8bc2cb01b2a5875aa983b4cc5be68221.256p.jpg
Montech CENTURY II (25),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorBlack,(25),€103.40Add,https://m.media-amazon.com/images/I/41ehLaPDbXL.jpg
MSI MAG A550BN (41),TypeATX,Efficiency Rating80+ Bronze,Wattage550 W,ModularNo,ColorBlack,(41),€48.73Add,https://m.media-amazon.com/images/I/51VZJ8DVX-L.jpg
Corsair RM850x (2024) (46),TypeATX,Efficiency Rating,Wattage850 W,ModularFull,ColorBlack,(46),€150.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/1e3308cded9a7c92a8dba6b2be976bcc.256p.jpg
Corsair RM750e (2025) (16),TypeATX,Efficiency Rating,Wattage750 W,ModularFull,ColorBlack,(16),€109.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/8307e191cd38a81dc5dcf709432e21e0.256p.jpg
Thermaltake Smart (84),TypeATX,Efficiency Rating80+,Wattage500 W,ModularNo,Color,(84),Add,https://m.media-amazon.com/images/I/519RlzaoKDL.jpg
MSI MAG A850GL PCIE5 (25),TypeATX,Efficiency Rating80+ Gold,Wattage850 W,ModularFull,ColorWhite,(25),€117.36Add,https://cdna.pcpartpicker.com/static/forever/images/product/eef1b2e0ab31f6cbcbe01d162f44b952.256p.jpg
Corsair SF750 (2024) (38),TypeSFX,Efficiency Rating80+ Platinum,Wattage750 W,ModularFull,ColorBlack,(38),€164.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/e297517330e5a91ec38e95b9377df1a0.256p.jpg
Asus ROG THOR 1600T Gaming (1),TypeATX,Efficiency Rating80+ Titanium,Wattage1600 W,ModularFull,ColorSilver / Black,(1),€640.50Add,https://cdna.pcpartpicker.com/static/forever/images/product/b22fb9713e4ad5dd4245dbec30740766.256p.jpg
Corsair CX750M (2021) (29),TypeATX,Efficiency Rating80+ Bronze,Wattage750 W,ModularSemi,ColorBlack,(29),Add,https://cdna.pcpartpicker.com/static/forever/images/product/e3f5e5e966e562c1ec685b17ed83bccb.256p.jpg
MSI MPG A1000GS PCIE5 (6),TypeATX,Efficiency Rating80+ Gold,Wattage1000 W,ModularFull,ColorBlack,(6),€155.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/e30f8fbb357a16391b3a15586b9aaec4.256p.jpg
Corsair RM650e (2025) (11),TypeATX,Efficiency Rating,Wattage650 W,ModularFull,ColorBlack,(11),€84.90Add,https://m.media-amazon.com/images/I/41G0n8yq8CL.jpg
Corsair RM1000e (2025) (9),TypeATX,Efficiency Rating,Wattage1000 W,ModularFull,ColorBlack,(9),€154.94Add,https://cdna.pcpartpicker.com/static/forever/images/product/e1a0bb0ca24bc0c2d95fea57a8c2019d.256p.jpg
Asus ROG STRIX 1200P Gaming (1),TypeATX,Efficiency Rating80+ Platinum,Wattage1200 W,ModularFull,ColorBlack / Silver,(1),€242.84Add,https://cdna.pcpartpicker.com/static/forever/images/product/3fb2d887e5a452db696692c8205dd369.256p.jpg
Corsair SF850 (2024) (31),TypeSFX,Efficiency Rating80+ Platinum,Wattage850 W,ModularFull,ColorBlack,(31),€170.06Add,https://cdna.pcpartpicker.com/static/forever/images/product/016556184725a9604ae50e789f12b12c.256p.jpg
Cooler Master MWE GOLD 750 V2 FULL MODULAR (22),TypeATX,Efficiency Rating80+ Gold,Wattage750 W,ModularFull,ColorBlack,(22),€107.81Add,https://cdna.pcpartpicker.com/static/forever/images/product/14006f097772a18096431e1627300499.256p.jpg
