Name,Capacity,Price / GB,Type,Cache,Form Factor,Interface,Rating,Price,image_url
Samsung 990 Pro (264),Capacity2 TB,Price / GB€0.138,TypeSSD,Cache2048 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(264),€276.44Add,https://cdna.pcpartpicker.com/static/forever/images/product/55fb148a837f9e33dfdb095188af8a74.256p.jpg
Kingston NV3 (46),Capacity1 TB,Price / GB€0.142,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(46),€142.50Add,https://cdna.pcpartpicker.com/static/forever/images/product/0a0b12a29d901a2fef4cd49748f3cc54.256p.jpg
Crucial P310 (10),Capacity1 TB,Price / GB€0.163,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(10),€162.83Add,https://cdna.pcpartpicker.com/static/forever/images/product/df4e2992d37f23922fb5d8d9ce743981.256p.jpg
Samsung 990 Pro (80),Capacity1 TB,Price / GB€0.135,TypeSSD,Cache1024 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(80),€134.87Add,https://m.media-amazon.com/images/I/41IWzc1mUwL.jpg
Samsung 990 EVO Plus (58),Capacity2 TB,Price / GB€0.125,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X2,(58),€250.29Add,https://cdna.pcpartpicker.com/static/forever/images/product/e04f7c7b9bb44e66f4518b2d99d5798d.256p.jpg
Samsung 990 Pro (96),Capacity4 TB,Price / GB€0.089,TypeSSD,Cache4096 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(96),€354.86Add,https://cdna.pcpartpicker.com/static/forever/images/product/242cc7c9d1e07078de3b04029e20dd82.256p.jpg
Samsung 9100 PRO (2),Capacity8 TB,Price / GB€0.121,TypeSSD,Cache8192 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(2),€969.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/fc8889b70fba1d57031e100cf6562622.256p.jpg
Western Digital WD_Black SN850X (241),Capacity2 TB,Price / GB€0.131,TypeSSD,Cache2048 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(241),€262.55Add,https://cdna.pcpartpicker.com/static/forever/images/product/8e6dbae8a0f3c6572216c8758ce5a0b5.256p.jpg
Seagate Barracuda Compute (748),Capacity2 TB,Price / GB€0.057,Type7200 RPM,Cache256 MB,"Form Factor3.5""",InterfaceSATA 6.0 Gb/s,(748),€113.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg
Samsung 990 EVO Plus (47),Capacity1 TB,Price / GB€0.165,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X2,(47),€164.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/2c091ea31f2b5c8f08dd51ef546046b0.256p.jpg
OWC Mercury Enterprise Pro 6G (0),Capacity16 TB,Price / GB,TypeSSD,Cache,"Form Factor2.5""",InterfaceSATA 6.0 Gb/s,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/78e0b4ee0ab65ea56f17972283df0c0f.256p.jpg
Patriot P300 (13),Capacity512 GB,Price / GB€0.164,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 3.0 X4,(13),€83.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/bbe3d900dc2abf2a0828e4860619a58e.256p.jpg
Samsung 9100 PRO (23),Capacity2 TB,Price / GB€0.147,TypeSSD,Cache2048 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(23),€294.33Add,https://cdna.pcpartpicker.com/static/forever/images/product/01ad6b516b12c519dfb76ed08a2a7ef3.256p.jpg
Western Digital WD_Black SN850X (122),Capacity1 TB,Price / GB€0.125,TypeSSD,Cache1024 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(122),€124.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/8e6dbae8a0f3c6572216c8758ce5a0b5.256p.jpg
Kingston NV2 (157),Capacity1 TB,Price / GB,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(157),Add,https://cdna.pcpartpicker.com/static/forever/images/product/7aa3028d0fc04e0ee3323f474bd349bd.256p.jpg
Samsung 870 Evo (77),Capacity1 TB,Price / GB€0.159,TypeSSD,Cache1024 MB,"Form Factor2.5""",InterfaceSATA 6.0 Gb/s,(77),€159.27Add,https://m.media-amazon.com/images/I/31ITAX-GoIL.jpg
Crucial P310 (4),Capacity2 TB,Price / GB€0.133,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(4),€266.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/df4e2992d37f23922fb5d8d9ce743981.256p.jpg
